#hg19.knownGene.name	hg19.knownGene.proteinID	hg19.kgXref.kgID	hg19.kgXref.mRNA
uc010pyw.2	B7ZKS9	uc010pyw.2	BC143359
uc009wdb.3		uc009wdb.3	AX748444
uc009whf.2	Q7Z7D3-2	uc009whf.2	NM_001253850
uc009vrb.2	Q8N6P7	uc009vrb.2	AK308522
uc009xcd.3	E7EQT9	uc009xcd.3	AK315137
uc009xbr.3		uc009xbr.3	AK057131
uc009xej.2	NP_066277	uc009xej.2	AK309263
uc009won.3		uc009won.3	AK123997
uc009xgt.2		uc009xgt.2	NR_037892
uc009xgu.3	NP_065127	uc009xgu.3	NM_020394
uc009wxg.3		uc009wxg.3	NR_073544
uc009wxh.3		uc009wxh.3	AK058167
uc021oen.1	E7ERA6	uc021oen.1	NM_001205252
uc021oeo.1	E7ERA6	uc021oeo.1	CCDS53257
uc009wyl.3	Q92954-3	uc009wyl.3	NM_001127709
uc009wym.3	Q92954-4	uc009wym.3	NM_001127710
uc009wze.2	Q5T9M4	uc009wze.2	AK310898
uc009wzf.2	E9PKH0	uc009wzf.2	AK308217
uc021pfj.1	B1AM31	uc021pfj.1	AL833914
uc021opp.1	Q9H0R5-4	uc021opp.1	JF927951
uc021pgy.2	B1ALS1	uc021pgy.2	BC014239
uc021osn.1	NP_001240778	uc021osn.1	NM_001253849
uc021oso.1		uc021oso.1	NR_045604
uc031ppd.1	NP_001263260	uc031ppd.1	NM_001276331
uc031prk.1	Q5T9M3	uc031prk.1	NM_001267798
uc010fse.2	P42224	uc010fse.2	AK292604
uc010fsf.1		uc010fsf.1	AK225853
uc010fvl.2	Q6ZNE9	uc010fvl.2	NM_198483
uc010fxj.3	Q9HB58-4	uc010fxj.3	L22342
uc010fxk.3	G5E9C0	uc010fxk.3	BC019059
uc010fxl.3	E7EUR5	uc010fxl.3	BC105960
uc010fxm.1	Q9H930	uc010fxm.1	NM_138402
uc010fxn.2	Q9H930-3	uc010fxn.2	BC004921
uc010fxo.1	H7BYP4	uc010fxo.1	BC143624
uc010yis.2	Q5EBM0-3	uc010yis.2	NM_001256478
uc010yjp.2	Q92519	uc010yjp.2	NR_027303
uc010yjr.2	P04198	uc010yjr.2	BC002712
uc010zbx.1	B4DQD4	uc010zbx.1	AK298754
uc010ync.2	Q8IV61	uc010ync.2	NM_001139488
uc010ylu.2	F5H1P6	uc010ylu.2	AK303784
uc010yms.2	A8MX76	uc010yms.2	NM_001145122
uc010ypi.2	B4DT16	uc010ypi.2	AK300012
uc010ypj.2	F5H2Y4	uc010ypj.2	AK297507
uc010zma.1		uc010zma.1	AK301267
uc010ywa.2	B4E0I3	uc010ywa.2	AK303389
uc031rno.1		uc031rno.1	AK308509
uc021vue.1	P42224	uc021vue.1	GU211348
uc021vxx.1	F5H1M1	uc021vxx.1	NM_001185015
uc002rci.3	P04198	uc002rci.3	NM_005378
uc002rbv.4	Q92519	uc002rbv.4	NM_021643
uc002sab.3	D9YZV9	uc002sab.3	NM_018014
uc002sac.3	Q9H165-3	uc002sac.3	NM_138559
uc002sad.1	Q9H165	uc002sad.1	AX747478
uc002sae.1	Q9H165	uc002sae.1	NM_022893
uc002saf.1	Q9H165-6	uc002saf.1	AY228763
uc002rky.3	NP_001477	uc002rky.3	NM_001486
uc002sen.4	P08567	uc002sen.4	NM_002664
uc002rnt.2	A8MX76-2	uc002rnt.2	AX747435
uc002row.1		uc002row.1	AK125551
uc002qyn.2		uc002qyn.2	AK127983
uc002rox.3	Q8IV61	uc002rox.3	NM_170672
uc002qyo.4	Q5EBM0	uc002qyo.4	NM_207315
uc002qyp.1	Q8WXG1	uc002qyp.1	NM_080657
uc002roy.3	D6W583	uc002roy.3	NM_015376
uc002tbu.1	Q01638	uc002tbu.1	NM_016232
uc002tbv.3	Q01638-2	uc002tbv.3	NM_003856
uc002rzf.3	Q8TCS8	uc002rzf.3	NM_033109
uc002uce.4	Q9BYX4	uc002uce.4	NM_022168
uc002ucf.4	Q9BYX4-2	uc002ucf.4	CU692331
uc002udf.3	Q8WYN3	uc002udf.3	NM_001172173
uc002udg.3	Q8WYN3	uc002udg.3	NM_024969
uc002syd.1	P43403	uc002syd.1	NM_001079
uc002sye.1	P43403-3	uc002sye.1	BC039039
uc002syf.1	NP_997402	uc002syf.1	NM_207519
uc002unj.3	NP_001106869	uc002unj.3	NM_001113398
uc002unk.4		uc002unk.4	BC048123
uc002unl.4	Q569K4	uc002unl.4	NR_049778
uc002unm.3	Q569K4-2	uc002unm.3	NM_001113397
uc002unn.4	Q569K4	uc002unn.4	NM_152520
uc002txi.2	Q13287	uc002txi.2	NM_004688
uc002txj.2		uc002txj.2	AK124323
uc002vgw.3	Q6ZNE9	uc002vgw.3	NR_034176
uc002usj.2	P42224	uc002usj.2	NM_007315
uc002usk.2	NP_644671	uc002usk.2	NM_139266
uc002usl.2	J3KPM9	uc002usl.2	AK096686
uc002vqg.3	NP_536349	uc002vqg.3	NM_080424
uc002vqh.3	NP_004500	uc002vqh.3	NM_004509
uc002vqi.4	B4DVI4	uc002vqi.4	NM_004510
uc002vqj.3	NP_001005176	uc002vqj.3	NM_001005176
uc002vqk.2	Q13342-2	uc002vqk.2	U36499
uc002vql.3	Q13342	uc002vql.3	NM_007237
uc002vqm.3	E9PFJ6	uc002vqm.3	BC105743
uc002vqn.3	Q13342-3	uc002vqn.3	U63420
uc010fcg.3	Q66LN6	uc010fcg.3	AY692278
uc010fde.3	Q59GZ2	uc010fde.3	AB208967
uc010ewv.4	NP_001243406	uc010ewv.4	NM_001256477
uc010ezd.3	A8K731	uc010ezd.3	AK291846
uc010hgv.1	F8W6T4	uc010hgv.1	AB425198
uc010hgw.1		uc010hgw.1	AY789462
uc010hgx.1		uc010hgx.1	BC127645
uc010hka.4	Q9NSU2	uc010hka.4	NM_016381
uc010hjy.3	Q9NSU2	uc010hjy.3	AF319566
uc010hjz.3	Q9NSU2	uc010hjz.3	NM_033629
uc010hqb.2	Q7RTY8-2	uc010hqb.2	NM_001042575
uc010hri.3	Q8IXQ6	uc010hri.3	NM_001146102
uc010hrj.3	Q8TDB6-2	uc010hrj.3	AY780792
uc010hrk.3		uc010hrk.3	FW340085
uc010hue.1		uc010hue.1	BC063845
uc010hsy.2	E9PBQ0	uc010hsy.2	NM_001204887
uc010hwu.2	NP_001177872	uc010hwu.2	NM_001190943
uc011bhr.1	Q7RTY8	uc011bhr.1	NR_026734
uc011bjs.2	Q8IXQ6-2	uc011bjs.2	NM_001146104
uc011bnn.2	B4DTE8	uc011bnn.2	AK300181
uc011ayh.2	B4DU08	uc011ayh.2	AK300448
uc011ayi.2	J3KPU4	uc011ayi.2	NM_002468
uc011ayj.2	Q99836-3	uc011ayj.2	NM_001172569
uc011ayk.2	Q99836-4	uc011ayk.2	NM_001172566
uc011ayl.2	J3KQ87	uc011ayl.2	NM_001172568
uc011azl.1	F5H1F5	uc011azl.1	NM_001251884
uc011azm.1	B4DEB5	uc011azm.1	NM_001251883
uc011azn.2	B4DNY6	uc011azn.2	NM_001251885
uc003cbh.3	Q01826	uc003cbh.3	NM_002971
uc003cbi.3	Q01826-2	uc003cbi.3	NM_001195470
uc003cbj.3	Q01826	uc003cbj.3	NM_001131010
uc003cho.1	Q9Y238	uc003cho.1	NM_007335
uc003chp.1	Q9Y238-3	uc003chp.1	NM_007337
uc003chq.1		uc003chq.1	AY789464
uc003chr.1		uc003chr.1	AL137706
uc003chs.1		uc003chs.1	AL137282
uc003chx.3	J3KQJ6	uc003chx.3	NM_001172567
uc003dca.4	Q9BZJ7	uc003dca.4	NM_080865
uc003clf.2	P32241	uc003clf.2	NM_004624
uc003clg.2	NP_001238812	uc003clg.2	X77777
uc003ctj.3	Q9NSU2	uc003ctj.3	AF319568
uc003ctk.3	C9J052	uc003ctk.3	BC019863
uc003eff.4	Q8IXQ6-2	uc003eff.4	NM_001146105
uc003efg.3	G5E9U8	uc003efg.3	BX648869
uc003efh.3	Q8IXQ6	uc003efh.3	NM_031458
uc003efi.3	Q8IXQ6-2	uc003efi.3	NM_001146103
uc003efj.2	E9PFM7	uc003efj.2	NM_001146106
uc003efk.3	Q8TDB6	uc003efk.3	NM_138287
uc003efq.4	Q460N5	uc003efq.4	NM_017554
uc003efr.3	Q460N5	uc003efr.3	AY134858
uc003cxr.3	P41226	uc003cxr.3	NM_003335
uc003efs.1	H7C5R8	uc003efs.1	AB033094
uc031rzp.1	NP_009179	uc031rzp.1	NM_007248
uc003eln.2	Q86YS6	uc003eln.2	NM_198490
uc003fid.3	P50591	uc003fid.3	NM_003810
uc003fie.3	P50591-2	uc003fie.3	NM_001190942
uc003ero.1	P56856-2	uc003ero.1	NM_001002026
uc003erp.1	P56856	uc003erp.1	NM_016369
uc003flh.4	Q9UQV4	uc003flh.4	NM_014398
uc003ewa.2	Q8WVK1	uc003ewa.2	BC017901
uc003evx.4	O15162	uc003evx.4	NM_021105
uc003evz.4		uc003evz.4	BC070251
uc021xdb.1	Q8TDB6	uc021xdb.1	BC040372
uc021xdc.1	Q460N5-4	uc021xdc.1	DQ063585
uc021xdo.1	NP_001191817	uc021xdo.1	NM_001204888
uc021xdp.1	Q86YS6	uc021xdp.1	NM_001204886
uc021xdq.1	Q86YS6	uc021xdq.1	NM_001204885
uc021xdr.1	Q86YS6	uc021xdr.1	NM_001204884
uc021xds.1	Q86YS6	uc021xds.1	NM_001204883
uc021xhk.1		uc021xhk.1	NR_033994
uc021wwl.1	NP_001238811	uc021wwl.1	NM_001251882
uc010ieg.3	H0Y983	uc010ieg.3	AK307723
uc010ikp.2	Q8N3J5-2	uc010ikp.2	AF351614
uc010ipu.1		uc010ipu.1	AK311683
uc010ipv.3	NP_001171670	uc010ipv.3	NM_001184741
uc011cdi.2	Q8IVU3	uc011cdi.2	NM_017912
uc011cdj.2	Q8IVU3-2	uc011cdj.2	NM_001165136
uc011cdk.2		uc011cdk.2	AY653202
uc011cdl.3	B3KUG6	uc011cdl.3	AY653203
uc011cdm.3	Q9UII4	uc011cdm.3	AK302142
uc011cft.2	E7ETH0	uc011cft.2	AK299232
uc011ckz.2	O15455	uc011ckz.2	AK302143
uc003gla.3	P83110	uc003gla.3	NM_053044
uc003hby.1	NP_996802	uc003hby.1	NM_206919
uc003gkz.3	P83110-2	uc003gkz.3	AY280666
uc003heh.3	O75310	uc003heh.3	NM_001073
uc003hek.4	P06133	uc003hek.4	NM_021139
uc003gol.1	P28907	uc003gol.1	NM_001775
uc003gom.3	Q14512	uc003gom.3	NM_005130
uc003gph.1	P28838	uc003gph.1	NM_015907
uc003hig.2	P35070	uc003hig.2	NM_001729
uc003hjl.4	P02778	uc003hjl.4	NM_001565
uc003hjm.3	O14625	uc003hjm.3	NM_005409
uc021xmk.1		uc021xmk.1	AK297592
uc021xml.1	Q14512	uc021xml.1	CCDS3418
uc021xow.1	P54855	uc021xow.1	NM_001076
uc003gzt.3	Q9BPW5	uc003gzt.3	NM_023940
uc003hrm.5	Q8N3J5	uc003hrm.5	NM_152542
uc003hrn.4	Q8N3J5-2	uc003hrn.4	AL834167
uc003hrp.1		uc003hrp.1	AX747525
uc003hrt.4	Q9UII4	uc003hrt.4	NM_016323
uc021xuh.1	Q5H9U9	uc021xuh.1	CCDS47161
uc003ioa.4	P02675	uc003ioa.4	NM_005141
uc003iod.1	P02671	uc003iod.1	NM_000508
uc003ioe.1	P02671-2	uc003ioe.1	NM_021871
uc003imw.2	Q6P9G4	uc003imw.2	NM_152680
uc003iof.1	Q3KRA7	uc003iof.1	BC020764
uc003iog.3	P02679-2	uc003iog.3	NM_000509
uc003ioj.3	P02679	uc003ioj.3	NM_021870
uc003iom.1	O95237	uc003iom.1	AY546085
uc003ion.1	O95237	uc003ion.1	NM_004744
uc003hzq.3	P05156	uc003hzq.3	AK122686
uc003hzr.4	NP_000195	uc003hzr.4	NM_000204
uc003iro.3	Q9NT91	uc003iro.3	AL137464
uc003irp.3	Q8IY21	uc003irp.3	NM_017631
uc003irq.4	Q5H9U9	uc003irq.4	NM_001012967
uc003irr.1	Q5H9U9-2	uc003irr.1	CR933601
uc003irs.1	Q5H9U9	uc003irs.1	AX747557
uc003irt.1	D6RB62	uc003irt.1	AK096369
uc003iyq.3	O15455	uc003iyq.3	NM_003265
uc003iyr.3	O15455	uc003iyr.3	BC043204
uc010jbe.1		uc010jbe.1	AK310245
uc010jdn.2	Q9UKU0-6	uc010jdn.2	DQ083031
uc010jdo.2	Q9UKU0-3	uc010jdo.2	NM_001205248
uc010jdp.1		uc010jdp.1	DQ083030
uc010iut.1		uc010iut.1	AY498865
uc011com.2	E9PDL7	uc011com.2	BC150603
uc011con.2	B7Z3M3	uc011con.2	AK296109
uc011cow.2	Q86VV4-3	uc011cow.2	NM_001161429
uc011cxg.1	B7ZMB8	uc011cxg.1	BC144417
uc011cxh.1	B7ZMB7	uc011cxh.1	BC144416
uc021ydh.1	Q9UKU0-7	uc021ydh.1	NM_001205251
uc021xxk.1		uc021xxk.1	AK055757
uc003jje.1	B3KP51	uc003jje.1	AK055732
uc003jjf.3	Q9BYV1	uc003jjf.3	NM_031900
uc003jiu.3	Q6PF05	uc003jiu.3	NM_144725
uc003jiv.3		uc003jiv.3	BC032871
uc003jkh.3	Q86VV4	uc003jkh.3	NM_145000
uc003kla.1	NP_689761	uc003kla.1	NM_152548
uc003lep.3	Q86WV6	uc003lep.3	NM_198282
uc003kvd.3	Q70JA7	uc003kvd.3	NM_175856
uc003kwa.2	J3KPG3	uc003kwa.2	NM_001205250
uc003kwb.3	NP_001192176	uc003kwb.3	NM_001205247
uc003kwc.1	C9JT10	uc003kwc.1	DQ655981
uc003kwd.1	C9J3Z0	uc003kwd.1	DQ655980
uc003kvv.2		uc003kvv.2	AF099740
uc003kvw.2	B3KV64	uc003kvw.2	AK122702
uc003kvx.2	Q9UKU0-8	uc003kvx.2	NM_015256
uc003kvy.2	Q9UKU0-1	uc003kvy.2	NM_001009185
uc003kvz.2	Q9UKU0-7	uc003kvz.2	BC047453
uc003kxq.1	Q6ZMN8	uc003kxq.1	NM_001039780
uc010kih.1		uc010kih.1	BC101976
uc010kkk.1		uc010kkk.1	AK307470
uc010kkl.1	Q15349	uc010kkl.1	AK310428
uc010jsy.3	P55008-3	uc010jsy.3	NM_004847
uc010jzl.3	Q9UHG9	uc010jzl.3	AF179685
uc010jzm.3	O43515	uc010jzm.3	AF031549
uc011eao.2	Q8NEN0	uc011eao.2	AK294574
uc011dor.2	B4E1Z4	uc011dor.2	AK304045
uc011dos.1	B4E1Z1	uc011dos.1	AK304042
uc011eft.2	Q8N103	uc011eft.2	AK298686
uc011ego.1	Q15349	uc011ego.1	AK295674
uc011dqf.1	E7ENX8	uc011dqf.1	AK299603
uc011dqi.2	Q03518	uc011dqi.2	AK302340
uc011dqj.2	B4DZW2	uc011dqj.2	AK303118
uc011dts.1	Q6UXB8	uc011dts.1	AK303928
uc031snn.1	NP_116573	uc031snn.1	JQ782415
uc021ylc.1	NP_995586	uc021ylc.1	NM_205864
uc021ymt.1	P68431	uc021ymt.1	CCDS4590
uc021zgq.1	A6YF59	uc021zgq.1	NM_001243327
uc021yzd.1	Q6UXB8	uc021yzd.1	NM_001199159
uc021yzj.1	NP_001229518	uc021yzj.1	NM_001242589
uc003nbs.3	P36959	uc003nbs.3	NM_006877
uc003nfp.1	P68431	uc003nfp.1	NM_003529
uc003nfs.1	P68431	uc003nfs.1	NM_003537
uc003nhb.2	P68431	uc003nhb.2	BC052981
uc003nhc.4	P68431	uc003nhc.4	NM_003532
uc003nfv.3	P68431	uc003nfv.3	NM_003531
uc003nhg.1	P68431	uc003nhg.1	NM_021018
uc003nhi.3	P68431	uc003nhi.3	NM_003534
uc003ngv.4	P68431	uc003ngv.4	NM_003530
uc003nka.3	P68431	uc003nka.3	NM_003535
uc003njm.3	P68431	uc003njm.3	NM_003536
uc003ocb.1	Q9UP03	uc003ocb.1	NM_018833
uc003occ.3	Q03519	uc003occ.3	AK222823
uc003ocd.3	NP_000535	uc003ocd.3	NM_000544
uc003njy.3	P68431	uc003njy.3	NM_003533
uc003ocg.3	Q03518	uc003ocg.3	NM_000593
uc003mxh.3		uc003mxh.3	BC033545
uc003mxj.3	D6RCT9	uc003mxj.3	BC026188
uc003mxk.2	Q8TC20-3	uc003mxk.2	NM_001170693
uc003mxl.2	D6RCT9	uc003mxl.2	NM_001170692
uc003npk.2	Q6P9F5	uc003npk.2	BC060785
uc003npm.2	Q6P9F5-2	uc003npm.2	NM_138700
uc003npn.2	Q9UDY6-2	uc003npn.2	NM_052828
uc003npo.3	Q9UDY6	uc003npo.3	NM_006778
uc003pal.1	Q96PD4	uc003pal.1	AF332389
uc003pam.1	Q96PD4	uc003pam.1	NM_052872
uc003nva.3	NP_116573	uc003nva.3	NM_032955
uc003ona.3	Q6UXB8	uc003ona.3	NM_153370
uc003nuy.3	P55008	uc003nuy.3	NM_001623
uc003omz.1	Q6UXB8-2	uc003omz.1	AK124589
uc003nyi.2	P00751-2	uc003nyi.2	AF349679
uc003nyj.4	P00751	uc003nyj.4	NM_001710
uc003oqf.2	Q9NP99	uc003oqf.2	NM_018643
uc003oqg.2	Q9NP99-2	uc003oqg.2	NM_001242590
uc003nzs.3	Q99946	uc003nzs.3	AK123424
uc003nzt.3	Q99946	uc003nzt.3	NM_030651
uc003nzu.3		uc003nzu.3	BC013201
uc003ozk.4	Q02094	uc003ozk.4	NM_000324
uc003pss.4	Q8NEN0	uc003pss.4	NM_032131
uc003qnj.3	Q8TD07-3	uc003qnj.3	NM_001243328
uc003qnk.2	Q8TD07-2	uc003qnk.2	NM_001243325
uc003qnl.1	Q8TD07	uc003qnl.1	NM_139165
uc003qsa.3	NP_687034	uc003qsa.3	NM_152133
uc003qsb.3	Q8N103-4	uc003qsb.3	NM_138810
uc003qrz.3	Q8N103	uc003qrz.3	NM_054114
uc003qvb.1	Q15349	uc003qvb.1	NM_021135
uc003qvc.1	Q15349-3	uc003qvc.1	NM_001006932
uc003qvd.1	F2Z2J1	uc003qvd.1	AB384854
uc003sga.3	P28065	uc003sga.3	NM_002800
uc003umf.3	Q5K651	uc003umf.3	NM_017654
uc003umg.3	Q5K651	uc003umg.3	NM_001193307
uc003umh.1	Q8IVG5	uc003umh.1	NM_152703
uc003umi.1	Q8IVG5	uc003umi.1	AF474973
uc003umj.1	Q8IVG5	uc003umj.1	AY195584
uc003umk.1	Q8IVG5	uc003umk.1	AY195585
uc003tya.2	O75344	uc003tya.2	NM_003602
uc003twx.4	F8WD38	uc003twx.4	BC070189
uc003twz.2	Q7Z4T4	uc003twz.2	AF447060
uc003usa.1		uc003usa.1	AF280111
uc003usb.1	F8W6L8	uc003usb.1	BC100982
uc003urx.1	Q9HB55	uc003urx.1	NM_057095
uc003ury.1	Q9HB55-2	uc003ury.1	NM_022820
uc003urz.1	Q9HB55-3	uc003urz.1	NM_057096
uc003uyo.1	Q96A83	uc003uyo.1	AJ416091
uc003vpq.3	P48052	uc003vpq.3	NM_001869
uc003who.3	Q9UG22	uc003who.3	NM_015660
uc003wka.2	D3DX12	uc003wka.2	BC047921
uc003wkb.2	Q86TI4	uc003wkb.2	NM_198285
uc003wkc.2	C9JAJ5	uc003wkc.2	AK125347
uc003wjr.1	Q9P2E5	uc003wjr.1	NM_019015
uc003vtt.3	O75912	uc003vtt.3	NM_004717
uc003vtu.3	E9PFX6	uc003vtu.3	AB209167
uc003vvl.1	Q9H0J9	uc003vvl.1	NM_022750
uc010lbe.1		uc010lbe.1	AK310255
uc010ldb.2	F8WD38	uc010ldb.2	AK310313
uc010lfb.1	Q8IVG5	uc010lfb.1	DQ068177
uc010lfc.1	Q8IVG5	uc010lfc.1	AY195582
uc010lfd.1	Q8IVG5	uc010lfd.1	AY195583
uc010lgi.1	Q495Y1	uc010lgi.1	BC100981
uc010lnf.1		uc010lnf.1	BC044660
uc010kym.2	B0I1T2	uc010kym.2	AL832302
uc011kbg.2	P10071	uc011kbg.2	AK299299
uc011kbh.2	P10071	uc011kbh.2	NM_000168
uc011kew.1	O75344-2	uc011kew.1	NM_001135211
uc022ahg.1	Q5K651	uc022ahg.1	CCDS34680
uc022ahh.1	Q8IVG5	uc022ahh.1	CCDS34681
uc022akx.1	C9JH25-2	uc022akx.1	NM_001114726
uc022aky.1	C9JH25	uc022aky.1	NM_001174164
uc011kpc.1	B4DDX9	uc011kpc.1	AK293378
uc011jyo.1	B5MC14	uc011jyo.1	AK301141
uc011jyp.1	B4DNV3	uc011jyp.1	AK298077
uc011jyq.1	B4DNQ5	uc011jyq.1	AK298013
uc011kvk.1	B4DJF1	uc011kvk.1	AK296049
uc031syp.1		uc031syp.1	NM_133457
uc003tfm.1	Q7Z602	uc003tfm.1	NM_181791
uc003tmg.2	B0I1T2	uc003tmg.2	AK131089
uc003tmh.2	B0I1T2	uc003tmh.2	NM_033054
uc003tmi.1	B0I1T2-4	uc003tmi.1	AF380933
uc003tmj.2	B0I1T2-3	uc003tmj.2	AK097912
uc003svj.4	P05231	uc003svj.4	NM_000600
uc003ugb.3	Q14314	uc003ugb.3	NM_006682
uc003xnm.3	P14902	uc003xnm.3	NM_002164
uc003wxr.3	Q15198	uc003wxr.3	NM_006207
uc003yhp.3	Q6KF10	uc003yhp.3	NM_001001557
uc003zak.4	E9PK67	uc003zak.4	AK129821
uc003zal.4	Q53GL7	uc003zal.4	NM_032789
uc003zam.2	E9PK67	uc003zam.2	BC020378
